RUN	RecordedSimulation	recordedsimulation	1587632571220	ma¤ana	3.3.1
REQUEST	14		request_4	1587632587577	1587632587584	OK	 
REQUEST	14		main.chunk.js	1587632587539	1587632587585	OK	 
REQUEST	14		request_3	1587632587542	1587632587586	OK	 
REQUEST	14		request_6	1587632587583	1587632587587	OK	 
REQUEST	14		request_7	1587632587585	1587632587589	OK	 
REQUEST	14		request_8	1587632587585	1587632587590	OK	 
REQUEST	14		request_10	1587632587587	1587632587592	OK	 
REQUEST	14		request_9	1587632587587	1587632587592	OK	 
REQUEST	14		request_13	1587632587590	1587632587593	OK	 
REQUEST	14		request_12	1587632587589	1587632587594	OK	 
REQUEST	5		request_20	1587632587639	1587632587704	OK	 
REQUEST	5		solid.css	1587632587705	1587632587745	OK	 
REQUEST	5		request_21	1587632587705	1587632587746	OK	 
REQUEST	5		request_22	1587632587706	1587632587747	OK	 
REQUEST	5		bootstrap.min.css	1587632587705	1587632587747	OK	 
REQUEST	14		0.chunk.js	1587632587539	1587632588091	OK	 
REQUEST	14		request_2	1587632587540	1587632588097	OK	 
REQUEST	6		request_14	1587632588126	1587632588314	OK	 
REQUEST	6		bootstrap.min.css	1587632588315	1587632588433	OK	 
REQUEST	6		request_16	1587632588434	1587632588479	OK	 
REQUEST	6		text-encoder-lite.min.js	1587632588316	1587632588485	OK	 
REQUEST	6		solid.css	1587632588316	1587632588487	OK	 
REQUEST	6		solid.js	1587632588316	1587632588494	OK	 
REQUEST	6		owasp-password-strength-test.js	1587632588316	1587632588495	OK	 
REQUEST	6		request_17	1587632588480	1587632588519	OK	 
REQUEST	6		request_19	1587632588487	1587632588531	OK	 
USER	RecordedSimulation	15	START	1587632588546	1587632588546
REQUEST	15		request_0	1587632588546	1587632588549	OK	 
REQUEST	15		uniovi.jpg	1587632588550	1587632588553	OK	 
REQUEST	6		request_18	1587632588485	1587632588563	OK	 
REQUEST	15		request_1	1587632588551	1587632588587	OK	 
REQUEST	15		bundle.js	1587632588551	1587632588588	OK	 
REQUEST	15		request_5	1587632588588	1587632588592	OK	 
REQUEST	15		request_3	1587632588553	1587632588593	OK	 
REQUEST	15		main.chunk.js	1587632588551	1587632588595	OK	 
REQUEST	15		request_4	1587632588587	1587632588595	OK	 
REQUEST	15		request_7	1587632588593	1587632588596	OK	 
REQUEST	15		request_6	1587632588592	1587632588596	OK	 
REQUEST	6		request_15	1587632588316	1587632588598	OK	 
REQUEST	15		request_8	1587632588595	1587632588598	OK	 
REQUEST	15		request_9	1587632588596	1587632588598	OK	 
